Index,Key,Value
0,0,7104
0,0,6102
2,2,4978
3,3,18861
3,3,16888
3,3,5720
4,4,21270
6,6,25375
6,6,16427
7,7,22960
7,7,6018
11,11,21560
11,11,17062
14,14,29530
14,14,13263
15,15,4569
15,15,28071
17,17,31832
18,18,21461
18,18,16396
19,19,23018
19,19,16834
19,19,942
20,20,8880
23,23,19227
23,23,3565
23,23,31543
23,23,28777
25,25,28541
25,25,28661
26,26,7240
27,27,21940
28,28,29187
29,29,16113
29,29,28469
30,30,22830
30,30,27205
30,30,12998
31,31,6790
31,31,17032
31,31,14567
32,32,15236
32,32,14625
32,32,23791
35,35,8398
37,37,11581
37,37,6096
40,40,15024
42,42,32500
42,42,10462
44,44,20582
44,44,17839
45,45,16617
47,47,15548
47,47,23467
48,48,10730
48,48,14577
50,50,9182
50,50,18503
51,51,30985
52,52,31862
52,52,742
52,52,15445
52,52,20985
55,55,27413
56,56,26067
58,58,17233
60,60,25439
61,61,10925
62,62,2024
64,64,31983
66,66,18805
67,67,19952
68,68,8971
71,71,12214
72,72,4511
72,72,26839
74,74,6809
75,75,21655
75,75,2396
75,75,11985
76,76,19123
76,76,29300
77,77,19029
77,77,4292
78,78,7440
83,83,14307
83,83,29240
83,83,16646
84,84,25810
85,85,24577
85,85,12527
87,87,13344
88,88,16349
89,89,17120
90,90,5652
90,90,1697
91,91,1013
92,92,20670
95,95,16950
96,96,2529
96,96,27579
98,98,23708
99,99,31167
100,100,10394
100,100,11516
101,101,22174
101,101,26603
103,103,25640
103,103,17847
103,103,22340
103,103,17727
105,105,8844
108,108,10822
108,108,27128
109,109,24523
110,110,5933
110,110,19699
111,111,2703
112,112,6721
115,115,11869
115,115,28953
116,116,7111
117,117,27943
118,118,18781
118,118,1663
120,120,10281
121,121,25886
123,123,29032
124,124,18632
125,125,15950
126,126,1823
126,126,24347
126,126,8806
128,128,12438
130,130,28015
131,131,22658
131,131,20617
132,132,22640
134,134,32037
134,134,23645
134,134,12617
135,135,28167
135,135,9877
136,136,5587
136,136,3373
139,139,29846
139,139,279
140,140,29566
141,141,27007
146,146,13658
147,147,13939
147,147,28214
149,149,3444
151,151,20549
152,152,10189
153,153,8147
155,155,27820
157,157,7456
159,159,4086
159,159,18059
160,160,21810
160,160,6767
160,160,7773
160,160,23954
160,160,31737
162,162,2052
163,163,6388
166,166,20480
167,167,24871
168,168,2922
169,169,13507
171,171,2919
172,172,9788
172,172,26711
172,172,3986
173,173,19014
173,173,23037
175,175,22412
175,175,8878
176,176,5355
177,177,1397
177,177,15796
177,177,2922
178,178,22701
179,179,30419
179,179,28170
180,180,16476
181,181,27862
182,182,19867
182,182,7945
183,183,20001
187,187,17097
187,187,12544
187,187,2814
189,189,5974
191,191,8927
191,191,7390
193,193,7510
195,195,7294
196,196,24328
196,196,6317
198,198,28766
198,198,22630
199,199,27018
200,200,722
200,200,9431
200,200,1280
201,201,6574
202,202,16170
203,203,21635
206,206,12876
208,208,20921
209,209,13150
210,210,24013
211,211,7884
211,211,11547
212,212,5976
214,214,25870
214,214,23879
215,215,8571
216,216,19656
216,216,6213
217,217,28157
218,218,21727
219,219,11593
221,221,14004
221,221,29411
222,222,28066
222,222,15822
223,223,5432
223,223,6051
224,224,4122
228,228,406
232,232,210
233,233,5851
234,234,9467
235,235,27480
235,235,31046
237,237,13693
238,238,30482
240,240,30165
241,241,1532
243,243,24991
245,245,14386
245,245,4654
247,247,4892
249,249,31521
250,250,14700
251,251,27184
251,251,4647
254,254,14880
255,255,24793
255,255,16014
257,257,18668
259,259,8351
261,261,7091
261,261,12952
261,261,12941
261,261,12328
262,262,6665
263,263,22092
266,266,22566
266,266,8216
267,267,7926
269,269,26601
269,269,6090
269,269,23067
273,273,16056
274,274,26024
274,274,5275
274,274,29873
275,275,13109
276,276,28153
277,277,6785
278,278,6079
278,278,10462
279,279,7284
281,281,4275
282,282,32488
284,284,20720
285,285,1332
285,285,16609
286,286,19315
291,291,1816
291,291,24438
292,292,30161
294,294,5826
297,297,24519
297,297,25784
301,301,8201
302,302,9759
303,303,16245
306,306,9195
307,307,26702
308,308,28148
309,309,10331
310,310,31543
311,311,19396
312,312,2241
314,314,31905
315,315,10647
317,317,29595
318,318,27431
318,318,13711
318,318,28934
319,319,31682
319,319,5600
320,320,404
320,320,14408
320,320,17613
320,320,4396
320,320,806
321,321,2646
321,321,25615
322,322,26844
322,322,31348
323,323,28645
325,325,1114
326,326,27203
327,327,25759
327,327,8447
328,328,26463
328,328,28732
329,329,3562
329,329,11034
330,330,15035
330,330,28712
332,332,5235
334,334,3821
334,334,2031
334,334,23493
334,334,890
335,335,4437
336,336,8737
336,336,11895
338,338,19678
339,339,8880
341,341,1589
343,343,4966
345,345,12257
346,346,17485
347,347,5438
348,348,3720
349,349,17013
350,350,7916
350,350,17125
354,354,13414
354,354,28059
355,355,358
355,355,9291
355,355,11643
356,356,4678
361,361,7432
361,361,21491
361,361,20681
362,362,11581
362,362,18915
362,362,1594
362,362,26761
363,363,29784
365,365,30043
368,368,1996
369,369,17786
371,371,30577
372,372,18618
373,373,16066
374,374,22824
374,374,19482
374,374,30577
375,375,31090
375,375,9938
376,376,26332
376,376,27362
377,377,19938
377,377,26885
380,380,20643
381,381,23655
384,384,32337
386,386,30276
387,387,29315
387,387,19676
388,388,26912
390,390,24443
391,391,16079
392,392,8698
393,393,30671
393,393,21554
393,393,22730
394,394,31600
394,394,20294
394,394,22141
395,395,30498
398,398,3826
398,398,32055
399,399,8008
399,399,17577
400,400,17749
401,401,27118
403,403,24628
404,404,4732
405,405,6269
407,407,27022
409,409,31311
409,409,966
410,410,1660
410,410,5739
410,410,9312
410,410,13601
411,411,24507
411,411,7423
411,411,29945
414,414,19244
415,415,976
415,415,5875
416,416,18761
419,419,18620
423,423,4723
423,423,1421
425,425,8880
425,425,31404
426,426,9335
427,427,32457
430,430,2202
431,431,24867
432,432,30867
435,435,1955
435,435,3889
436,436,6909
436,436,16447
438,438,19815
439,439,7107
439,439,24856
442,442,29153
442,442,8593
443,443,31558
444,444,23747
445,445,5926
445,445,21122
446,446,7177
447,447,23175
447,447,18712
447,447,26751
447,447,4120
448,448,14237
449,449,19727
450,450,12016
451,451,915
452,452,8091
453,453,16982
455,455,21713
455,455,31007
457,457,16218
457,457,32325
457,457,16996
457,457,8051
457,457,4111
459,459,18342
461,461,28580
462,462,31778
463,463,20075
463,463,31605
464,464,24448
465,465,13422
465,465,27516
465,465,24627
466,466,20003
468,468,12326
469,469,26089
470,470,18190
472,472,19758
474,474,20828
475,475,14408
478,478,13899
479,479,27937
479,479,4120
479,479,4652
480,480,9538
481,481,8170
484,484,26060
484,484,23993
485,485,30439
485,485,29237
488,488,23387
489,489,21324
489,489,8075
491,491,20434
491,491,3250
493,493,7476
493,493,12626
494,494,20816
494,494,173
495,495,6374
498,498,9991
500,500,29030
500,500,28142
501,501,7900
501,501,10444
502,502,12471
502,502,3189
502,502,26438
505,505,22765
505,505,28398
505,505,7018
506,506,20428
507,507,30663
508,508,15612
508,508,7575
509,509,23000
510,510,26164
510,510,17340
510,510,26597
510,510,22737
511,511,330
511,511,10080
511,511,16757
512,512,11546
513,513,21584
513,513,9782
514,514,30831
514,514,16158
516,516,18270
516,516,9456
516,516,29256
518,518,12296
518,518,19823
520,520,13671
520,520,4613
520,520,514
522,522,29795
523,523,29479
526,526,13598
527,527,6687
528,528,12108
530,530,21855
531,531,29652
534,534,12783
536,536,15830
536,536,29572
537,537,18066
537,537,18819
537,537,3492
537,537,10958
538,538,27074
539,539,20571
540,540,6293
543,543,24106
543,543,3541
545,545,11405
546,546,12455
546,546,13954
547,547,10206
547,547,29324
548,548,28713
550,550,31101
551,551,10824
551,551,11204
552,552,12785
553,553,422
553,553,7001
554,554,21582
555,555,30005
555,555,20865
557,557,7026
557,557,6788
558,558,10276
558,558,27511
560,560,29822
561,561,19752
562,562,3653
564,564,22431
564,564,20220
564,564,2222
564,564,21639
566,566,7266
567,567,19852
568,568,21002
569,569,20390
570,570,7406
570,570,2354
570,570,19113
571,571,5589
571,571,7475
572,572,22400
572,572,25504
572,572,17556
573,573,23572
574,574,18099
577,577,9581
577,577,11351
581,581,25721
581,581,455
582,582,174
584,584,6183
584,584,10955
585,585,9332
585,585,27617
586,586,22567
587,587,1167
587,587,26944
590,590,20335
592,592,1436
592,592,13135
593,593,7570
594,594,13479
595,595,17912
598,598,16069
599,599,19184
601,601,4656
601,601,22226
602,602,11775
602,602,32648
603,603,15436
603,603,10375
604,604,12259
605,605,25285
605,605,3022
605,605,16734
608,608,18926
608,608,19180
610,610,9237
612,612,12331
613,613,20975
613,613,12596
614,614,29817
616,616,20993
617,617,29596
618,618,13749
618,618,20695
619,619,1197
620,620,32737
620,620,7389
621,621,29132
622,622,29188
623,623,10877
624,624,14743
625,625,24597
625,625,9490
625,625,12574
625,625,28523
626,626,14780
627,627,10043
627,627,16653
629,629,19841
630,630,28423
630,630,14368
630,630,27243
631,631,2595
632,632,16906
633,633,23783
633,633,18091
634,634,29397
634,634,13173
635,635,23381
635,635,31186
636,636,18042
636,636,10208
637,637,23931
637,637,13353
638,638,31400
640,640,13741
641,641,31516
642,642,11901
645,645,17923
645,645,17172
647,647,19756
649,649,16961
650,650,17944
650,650,7736
653,653,12177
656,656,27916
657,657,12843
658,658,18201
658,658,8735
658,658,11271
659,659,19994
660,660,9633
660,660,20132
661,661,1734
661,661,16979
661,661,24980
662,662,28898
663,663,14559
667,667,17267
667,667,5824
667,667,20
669,669,9928
670,670,26501
670,670,6955
672,672,13769
674,674,7084
674,674,28314
682,682,13315
682,682,27708
682,682,13480
683,683,7845
685,685,15657
685,685,25277
686,686,16873
687,687,19080
688,688,3015
692,692,26638
693,693,15673
695,695,14425
695,695,17515
696,696,22265
697,697,3495
700,700,3400
700,700,28634
700,700,18120
700,700,3333
701,701,195
704,704,28822
704,704,24800
707,707,8488
708,708,8402
710,710,23043
711,711,12013
712,712,32072
714,714,23374
716,716,24018
716,716,2098
716,716,22498
716,716,24808
717,717,22780
718,718,3131
718,718,12807
720,720,24459
724,724,3568
724,724,3302
725,725,29383
726,726,4538
726,726,18456
727,727,9952
728,728,28336
729,729,1327
730,730,17822
730,730,28857
731,731,25812
731,731,2637
731,731,19324
732,732,5240
732,732,13459
732,732,28291
733,733,27227
736,736,13095
737,737,21717
738,738,32516
739,739,22701
740,740,14755
741,741,8596
741,741,13233
742,742,8992
744,744,5793
744,744,16839
744,744,12820
746,746,833
747,747,5150
747,747,2960
747,747,30840
749,749,22304
749,749,31160
749,749,15471
750,750,453
751,751,11898
752,752,28969
753,753,21153
754,754,12459
754,754,1810
754,754,191
755,755,16531
755,755,27542
756,756,20851
759,759,13126
761,761,18170
761,761,11253
763,763,11191
764,764,8244
766,766,3438
766,766,10104
767,767,7042
768,768,22211
768,768,17475
769,769,9980
771,771,7785
771,771,14691
771,771,528
772,772,32020
774,774,23405
776,776,19098
778,778,3227
781,781,29403
782,782,17970
783,783,19386
783,783,16304
784,784,8364
784,784,2086
786,786,25446
787,787,32498
787,787,31634
788,788,2015
790,790,16256
791,791,24817
791,791,11185
792,792,3165
792,792,5386
793,793,28495
793,793,15428
793,793,21340
794,794,7967
794,794,21800
799,799,18772
799,799,16508
801,801,7455
803,803,24879
804,804,1170
806,806,18737
808,808,4828
808,808,5131
812,812,2322
813,813,26529
815,815,12364
816,816,27061
817,817,4898
818,818,30118
819,819,13895
819,819,16883
820,820,23162
821,821,32340
821,821,8844
822,822,12816
823,823,29262
823,823,15269
823,823,13638
824,824,2580
824,824,3016
824,824,28452
829,829,15821
829,829,8539
834,834,11545
835,835,26563
838,838,18474
840,840,6223
843,843,16902
844,844,18541
844,844,10122
847,847,27528
848,848,2223
849,849,11716
849,849,159
850,850,13171
850,850,10184
851,851,28655
851,851,2351
852,852,9684
852,852,480
854,854,25957
855,855,13346
857,857,4761
858,858,20975
858,858,31236
858,858,6479
859,859,22729
859,859,8161
860,860,31038
861,861,14685
861,861,9695
864,864,27799
866,866,6509
868,868,25352
869,869,29197
869,869,27244
870,870,28616
871,871,1047
871,871,1746
876,876,14396
876,876,2376
877,877,6797
877,877,27632
877,877,31301
882,882,12507
882,882,19654
882,882,2267
883,883,19899
884,884,4903
884,884,4502
886,886,22759
887,887,13533
889,889,29856
891,891,3368
891,891,10625
893,893,13829
896,896,8937
896,896,22078
896,896,32619
900,900,10502
901,901,31287
901,901,24842
901,901,2366
902,902,2589
903,903,10580
903,903,14555
903,903,20499
904,904,31405
904,904,30553
904,904,17474
904,904,29584
905,905,29676
905,905,22718
906,906,24422
906,906,31727
907,907,4271
908,908,31771
908,908,15559
909,909,2813
910,910,24198
911,911,14840
912,912,14356
912,912,11858
913,913,21779
914,914,18563
914,914,15642
916,916,22018
917,917,3647
917,917,30406
917,917,14381
921,921,21001
923,923,15335
923,923,1409
924,924,24618
928,928,18636
928,928,4301
930,930,11351
932,932,18553
932,932,8899
933,933,20636
933,933,4683
934,934,28643
934,934,24062
936,936,14832
936,936,626
936,936,29095
936,936,411
937,937,7756
937,937,18605
938,938,13435
938,938,21098
938,938,12828
943,943,2262
944,944,27361
944,944,11847
944,944,3584
948,948,3570
948,948,7016
950,950,26895
950,950,4103
951,951,5581
951,951,21200
952,952,15049
952,952,22343
954,954,12262
954,954,15676
954,954,23272
958,958,1371
962,962,19282
964,964,5941
966,966,23328
970,970,11571
973,973,24625
973,973,28499
973,973,12817
973,973,809
974,974,26153
974,974,20505
976,976,5992
976,976,18253
976,976,17843
977,977,26098
978,978,16762
978,978,26536
978,978,3345
981,981,6254
981,981,13554
985,985,2991
986,986,842
987,987,29704
987,987,4107
987,987,26072
988,988,32535
989,989,8599
989,989,6083
990,990,10515
990,990,11979
991,991,27914
992,992,3393
993,993,2582
994,994,27134
996,996,891
998,998,8183
999,999,12278
