Index,Key,Value
0,997,9186
0,997,15135
0,997,26156
0,125,2797
0,997,17085
0,872,31902
0,872,7585
0,997,5981
0,997,7726
0,872,14649
0,0,12653
0,0,2358
4,276,22924
4,921,32200
4,401,17203
4,76,23797
4,996,31238
4,601,12147
4,676,18010
4,476,27703
4,76,8179
4,676,12375
4,476,25267
4,276,13468
4,401,22306
4,396,21116
4,476,10239
4,796,9289
4,476,31583
4,121,8750
4,121,9452
4,596,4445
4,1,9611
4,396,31135
4,801,21466
4,521,7838
4,1,24807
4,801,20139
4,76,5866
4,796,6675
4,201,2971
8,213,19661
8,213,15862
10,995,7631
10,627,3776
10,2,1580
10,370,29979
10,627,30303
10,370,26610
10,370,12589
10,370,1950
10,2,13509
18,994,2250
18,378,10355
18,619,4701
18,3,24301
18,378,22428
20,732,11512
20,732,9750
20,857,19393
20,140,7638
20,857,5315
20,140,24586
20,265,11546
28,868,15866
28,868,11495
28,993,10854
28,129,20168
30,62,26223
30,687,1093
30,935,26433
38,183,40
38,439,25589
38,439,6946
38,439,5106
38,558,26653
40,880,10679
40,880,9857
48,448,13658
48,448,24566
48,549,14156
48,549,19964
50,522,10204
50,850,27396
50,147,11648
50,850,12934
50,147,8428
50,147,8106
50,522,3324
54,791,6771
54,766,18649
54,206,30570
54,566,7650
54,791,1630
54,366,31800
54,806,12723
54,191,31397
54,231,9417
54,191,16466
54,191,1393
54,31,13258
54,831,10387
54,406,14969
54,31,32638
54,431,23103
54,191,11028
54,406,29423
54,206,15372
54,791,24197
54,366,27894
54,6,7235
54,31,17052
54,391,22473
58,459,12966
58,459,19411
58,834,24314
58,538,2180
58,163,25292
60,777,24101
60,345,3400
60,220,7880
60,220,21078
60,652,3498
60,777,30872
68,953,11937
68,169,1990
70,990,13960
70,990,21067
70,990,25240
78,679,27396
78,943,20578
78,943,21095
78,943,17500
78,943,17999
80,160,27020
80,285,11742
80,160,29034
80,160,25331
80,837,21563
80,160,24813
80,712,12764
80,285,3056
88,8,3448
88,133,13373
88,989,19288
88,989,5480
90,730,27477
90,355,10851
90,267,1267
98,523,5181
98,523,25861
98,474,775
98,898,11124
100,825,32460
100,825,848
100,700,14974
108,884,18884
108,884,3914
108,988,252
108,884,29770
110,927,27907
110,70,15456
118,719,12271
118,278,10332
118,903,16252
118,94,31854
120,32,31699
120,965,12880
128,768,7492
128,229,26227
128,893,10010
128,229,26538
128,768,23500
130,635,14760
130,362,4567
130,987,5679
130,362,4984
130,10,25745
130,362,32407
130,362,17711
130,635,18289
138,458,28570
138,458,13351
138,539,17794
138,458,22738
140,417,12579
140,417,10574
140,705,894
140,705,5761
140,705,17285
140,417,7210
148,649,25361
148,649,13371
148,348,23570
148,473,3887
150,550,14562
150,822,30850
150,550,21667
150,447,1192
150,550,8024
154,11,10200
154,386,5281
154,586,20491
154,386,23640
154,11,29735
154,11,16394
154,786,11337
154,811,10238
154,186,12900
154,986,6196
154,586,9199
154,586,2816
158,934,18910
158,438,20568
158,438,11071
158,559,10256
160,45,16605
160,45,2993
168,728,25643
168,728,15311
168,144,23598
168,144,285
168,144,4736
168,144,30556
168,728,19963
170,690,24608
170,307,24894
170,682,12768
170,682,1649
170,307,31781
178,154,26819
178,218,19236
178,843,25292
178,843,22990
178,779,32690
178,218,30428
178,843,1078
180,137,13398
188,33,22018
188,89,16100
190,55,29049
190,567,25186
190,430,20665
198,423,2722
198,798,5436
198,574,3160
198,798,17750
198,798,7032
200,525,31777
200,472,24746
200,597,1683
208,888,32284
208,13,13507
208,888,2244
208,984,20280
208,888,18474
208,13,2094
210,770,24674
210,602,16969
218,178,16192
220,457,12963
220,540,5697
220,457,9817
220,540,29474
220,540,26879
220,665,227
220,457,8993
220,332,2987
228,329,18741
228,329,16876
228,204,29362
228,329,21709
228,204,20939
230,335,3363
230,287,25999
230,335,11634
238,983,2882
238,983,13676
238,14,28020
238,639,877
240,592,31848
240,280,27969
248,373,13834
250,875,9938
250,875,12636
250,122,23219
254,751,27403
254,126,4846
254,351,8950
254,846,18792
254,646,7762
254,446,15523
254,926,13400
254,671,1460
254,751,19989
254,351,3269
254,326,15157
254,871,28829
254,646,21526
254,526,14104
254,551,31587
254,846,5694
254,646,26957
254,126,31949
254,471,8795
254,351,25973
