Index,Key,Value
0,0,18489
0,610,23009
0,0,725
3,466,15949
5,89,18435
8,555,31997
10,788,21110
10,178,9989
10,178,29841
11,411,2225
13,644,29551
13,34,26524
13,34,11789
13,644,14468
15,877,31635
15,267,8380
16,500,7001
16,500,18729
18,733,25187
18,733,28996
20,966,16860
20,356,6285
20,966,19596
22,589,3566
23,822,16264
23,822,28520
25,445,30356
26,68,30895
26,68,10034
26,68,31630
27,678,3581
27,678,26197
28,301,6831
28,911,9530
30,534,22508
30,534,29450
31,157,31103
35,623,19654
37,856,22191
37,856,20270
37,856,30790
37,856,2972
40,712,16399
41,335,6756
43,568,25379
44,191,21969
45,801,26458
45,801,13101
46,424,848
47,47,14418
52,136,9745
54,369,9156
54,369,12583
55,979,12905
56,602,21173
60,81,25617
60,81,21736
61,691,13864
62,314,6303
62,314,27427
62,314,5796
62,314,13385
65,170,28795
65,170,22001
65,170,8095
66,780,14450
67,403,20525
68,26,11382
68,26,22741
69,636,15891
69,636,9775
71,869,16941
75,348,17451
76,958,22795
77,581,13066
78,204,7843
78,204,2576
79,814,7953
83,293,25427
84,903,19483
87,149,25651
87,759,17128
87,759,30667
88,382,20068
90,615,27361
90,615,1387
92,848,27208
92,238,32040
95,94,22241
95,94,21240
95,94,27394
95,94,6220
97,327,14800
97,327,17308
97,327,6534
97,327,20116
102,416,1597
103,39,28823
107,505,25240
109,738,31137
110,361,24508
111,971,8359
112,594,19843
112,594,20551
113,217,18286
115,450,25825
116,73,4113
118,306,13823
119,916,6703
121,162,22149
123,395,28950
125,628,18073
125,628,21213
126,251,25152
127,861,16167
127,861,27398
127,861,8726
127,861,931
128,484,15119
129,107,24804
129,107,24526
130,717,4074
131,340,7608
132,950,6086
132,950,19105
133,573,21522
134,196,32184
135,806,25620
140,895,11083
142,141,29466
143,751,14545
144,374,5303
145,984,17261
146,607,19653
147,230,27727
148,840,24037
149,463,26934
151,696,21002
152,319,7072
152,319,20262
152,319,24947
155,175,28530
159,641,7680
160,264,31853
160,264,26911
161,874,28104
161,874,17311
162,497,12813
162,497,15580
164,120,11779
164,730,24790
165,353,22817
166,963,22207
167,586,5307
169,819,2382
169,209,24888
169,209,29230
169,209,4329
171,442,11891
171,442,1830
172,65,2679
172,65,17777
172,675,24823
174,908,20404
174,298,8330
174,908,19913
176,531,655
177,764,24674
181,620,21829
181,620,3448
181,620,1437
182,853,31698
182,853,4706
182,853,23754
182,243,5318
182,853,5015
184,476,18342
185,99,26820
185,99,1617
186,709,1725
189,565,10774
189,565,13009
191,798,25663
193,44,10934
194,654,27055
197,510,21304
199,743,20302
199,743,19033
200,366,792
201,976,32020
202,599,18556
203,222,26413
203,222,14006
204,832,1948
205,455,21981
206,78,23119
207,688,10144
208,311,31877
208,311,20600
208,311,15306
208,311,20899
209,921,26578
209,921,30296
210,544,5179
210,544,3541
211,167,803
211,167,12062
212,777,21379
212,777,5361
215,633,13711
220,722,4823
220,722,8781
222,955,11937
222,955,3422
223,578,19695
223,578,10967
227,57,27617
228,667,20271
228,667,16818
230,900,15309
231,523,13129
231,523,8514
232,146,29365
233,756,14518
234,379,27691
234,379,8080
235,989,27481
239,468,7981
246,790,25152
246,180,7243
249,646,15287
249,646,1776
251,879,12008
254,125,13904
256,968,26722
258,591,26339
259,214,20820
260,824,2479
260,824,27504
261,447,31388
262,70,31153
262,70,7400
263,680,31402
265,913,1148
267,159,8611
268,769,17650
270,15,31208
272,248,15248
273,858,17930
275,104,22520
276,714,15407
276,714,3877
279,570,31736
279,570,211
279,570,23808
279,570,25922
282,426,1163
284,659,32203
284,659,10130
284,659,16760
285,282,11686
287,515,28855
287,515,14337
288,138,28051
289,748,26350
290,371,28013
290,371,24995
291,981,6290
294,837,5601
294,837,17545
295,460,23639
296,83,9031
296,83,17271
296,83,20416
297,693,8534
297,693,10699
298,316,30379
305,638,9534
305,638,17328
306,261,10595
307,871,16167
307,871,30012
307,871,4246
308,494,27689
310,727,17023
311,350,16618
311,350,21983
311,350,10182
316,439,933
316,439,6472
316,439,22511
318,62,28211
320,905,23474
320,295,3190
320,295,20528
320,905,22354
320,905,13644
321,528,7111
323,151,13191
325,994,29883
326,617,12232
326,617,30390
326,617,6809
326,617,29904
330,473,1555
330,473,24150
331,96,15234
